sis_habilitado,nombre,anio,fraccion_basica_1,impuesto_fraccion_basica_1,impuesto_fraccion_excedente_1,fraccion_basica_2,impuesto_fraccion_basica_2,impuesto_fraccion_excedente_2,fraccion_basica_3,impuesto_fraccion_basica_3,impuesto_fraccion_excedente_3,fraccion_basica_4,impuesto_fraccion_basica_4,impuesto_fraccion_excedente_4,fraccion_basica_5,impuesto_fraccion_basica_5,impuesto_fraccion_excedente_5,fraccion_basica_6,impuesto_fraccion_basica_6,impuesto_fraccion_excedente_6,fraccion_basica_7,impuesto_fraccion_basica_7,impuesto_fraccion_excedente_7,fraccion_basica_8,impuesto_fraccion_basica_8,impuesto_fraccion_excedente_8,fraccion_basica_9,impuesto_fraccion_basica_9,impuesto_fraccion_excedente_9,fraccion_basica_10,impuesto_fraccion_basica_10,impuesto_fraccion_excedente_10
A,Tabla anual 2020,2020,0,0.00,0,11315.00,0.00,5,14416.00,155.00,10,18018.00,515.00,12,21639.00,950.00,15,43268.00,4194.00,20,64887.00,5818.00,25,86516.00,13925.00,30,115338.00,22572.00,35,0.00,0.00,0
A,Tabla anual 2022,2022,0,0.00,0,11310.00,0.00,5,14410.00,155.00,10,18010.00,515.00,12,21630.00,949.40,15,31630.00,2449.40,20,41630.00,4449.39,25,51630.00,6949.39,30,61630.00,9949.39,35,100000.00,23378.88,37
